model_name,model_frequency,exceedance_prob,protected_exceedance_prob
ck,0.00347234656594501,0,0.123546615866507
random,0.13385895243386,0.02923,0.123886475212283
rw,0.219315624490671,0.21688,0.126068295473482
subjects_io_fixed_freq,0.140379376928666,0.03502,0.123953795965347
subjects_io_fixed_trans,0.227249759612189,0.25073,0.126461871896832
subjects_io_jump_freq,0.26875883689839,0.46814,0.128989713852533
subjects_io_jump_trans,0.00348488892377141,0,0.123546615866507
wsls,0.00348021414650719,0,0.123546615866507
