model_name,exceedance_prob,protected_exceedance_prob,families,family_frequency,family_exceedance_prob
ck,0,0.0656744101402701,1,0.13853423053699,0.00019
random,0.02713,0.0785504361634259,1,0.13853423053699,0.00019
rw,0.24267,0.180846737270355,2,0.2265251208692,0.00308
subjects_io_fixed_freq,0.03319,0.0814265407598256,3,0.63494064859381,0.99673
subjects_io_fixed_trans,0.23972,0.179446653349666,3,0.63494064859381,0.99673
subjects_io_jump_freq,0.45728,0.282701655988728,3,0.63494064859381,0.99673
subjects_io_jump_trans,0,0.0656744101402701,3,0.63494064859381,0.99673
wsls,1e-05,0.0656791561874589,1,0.13853423053699,0.00019
