ck,random,rw,subjects_io_fixed_freq,subjects_io_fixed_trans,subjects_io_jump_freq,subjects_io_jump_trans,wsls
1.80386258711001e-09,6.23475548057161e-07,0.00243426729741561,8.71992768173724e-08,0.942607955777993,0.00608864571373764,0.0488684187283483,3.81765448752998e-12
2.25281230106164e-07,0.532042041246676,0.467924149313652,2.17526158653953e-19,1.76403187905199e-15,1.10325510167803e-14,1.14030708245645e-15,3.3584158428318e-05
1.00658931506917e-17,0.999998269091727,2.06142935882982e-11,1.51769026160708e-11,1.1534921491192e-06,3.91962206787005e-07,1.85418124579619e-07,1.23671789529244e-15
3.63340584097741e-07,3.57178459940975e-05,0.999963918448604,2.6016621168845e-16,1.06581256112331e-12,1.00241130219112e-10,3.6720448412263e-13,2.63143562805906e-10
1.48428709898334e-06,6.00090891327138e-06,0.999988139876681,2.27397976323783e-12,1.55702671737851e-08,3.9041778214014e-06,4.55101949823646e-07,7.4994949760183e-11
2.99398579234626e-18,1.00111669573243e-08,5.18809234881293e-12,8.71922400077781e-06,0.638502593804448,0.218181907983181,0.143306768972016,2.5878981158873e-17
9.89006963318476e-16,1.39163105031087e-09,2.03430176203553e-09,1.80306151576189e-07,0.00120999831940892,0.998475575425878,0.000314242522571965,5.53707922500707e-14
4.63524299680374e-07,0.0338553859574152,0.956135441093053,2.10928746239554e-09,0.00715757503132806,2.54129352082665e-05,0.0027786600000546,4.70593493536951e-05
4.19654278562012e-07,0.000157591219481941,0.999841977143798,8.84342914145251e-31,1.46017130226928e-31,8.03880077939932e-28,5.60518491740894e-32,1.19824417979825e-08
9.59060020788858e-38,1.58921061458616e-31,4.24973079138055e-32,7.6927955918112e-06,0.454395609959839,0.355993543253568,0.189603153991001,5.08997886994495e-36
1.75645684855821e-07,0.568535607305613,0.431445982359368,1.63080517344262e-29,1.27449281713951e-22,3.67574781535959e-24,4.77325688448324e-24,1.82346893348436e-05
6.67196912793468e-10,0.254378021754768,0.00106962748171151,8.76758821105544e-06,0.37750364799966,0.126755077715749,0.240284778932654,7.78600484455501e-08
4.37601806433761e-15,7.88367978267773e-05,7.18230432799534e-09,3.03343588820272e-05,0.561776131155855,0.3163891763359,0.121725514169171,5.62522800830183e-14
7.00633106207284e-27,7.59805273713436e-21,1.40701289660678e-20,2.63496758116477e-07,0.839681043639088,0.0192807053916668,0.141037987472487,2.10615271618906e-24
1.48692534682023e-10,0.999607000505334,0.000392997203143289,1.36327880825234e-30,2.08669880048352e-25,5.92555182348886e-26,8.67902594732117e-27,2.1428304345495e-09
9.89573915794579e-24,2.0243086549827e-17,1.48478993573907e-17,2.84052784661391e-05,0.379624578395746,0.549494473991707,0.0708525423340808,4.33482917600976e-22
3.45797831088811e-66,1.85571373379561e-64,4.69518693794642e-60,1.23921023338499e-05,0.520691451775142,0.32949230814638,0.149803847976144,5.93716616504649e-70
1.31005301167283e-07,0.742229173771492,0.257761779215863,6.85512351027982e-33,1.32755176280252e-26,5.97648277478336e-28,1.05594887525642e-29,8.91600734422193e-06
4.86926439797957e-07,0.000737484265056809,0.999206661525962,3.42454918275476e-09,7.93423623590849e-07,5.44104159586574e-05,9.82350305230848e-08,6.17833796724943e-08
2.95994391123965e-21,4.6355551831768e-15,3.94891424482215e-15,3.74102806824652e-07,5.65859416768513e-12,0.999999625738499,1.53027248498888e-10,7.36108193037254e-19
4.64179486507284e-07,0.00677796365944956,0.993205051475121,2.69877360613658e-18,4.59591312912356e-13,1.4533165245934e-12,3.36294462679454e-13,1.65206836934627e-05
1.2565457342492e-23,9.83241440685526e-16,2.00911698341744e-17,2.90824575371705e-06,0.100959973631715,0.862250217224246,0.0367869008982841,1.48408428216654e-22
3.3029734304457e-28,4.35566840093005e-20,7.47018175153089e-22,3.59666796362209e-11,1.50347239580584e-07,0.999999313930181,5.35686612924685e-07,3.42800039040389e-27
4.56645257265683e-07,0.0822739678886864,0.917649741884561,1.28476332601347e-39,2.13988236823044e-36,4.62035755168693e-35,1.77090202762206e-36,7.58335814954675e-05
8.2113874654261e-09,0.986831359851516,0.0131682574305813,6.89247536508467e-13,3.73029551753708e-09,1.53803857225075e-08,2.35657238297565e-09,3.5303857204559e-07
1.32055145418074e-08,0.91266888810956,0.0331068620970555,2.30286810632167e-07,0.0224834113167146,0.0291073077728762,0.00263325648434061,3.07271272581775e-08
1.80973355300311e-17,0.999999999958498,4.15024145649521e-11,1.08083918970762e-25,4.66185940577389e-20,1.41786442028867e-21,6.0859439793963e-22,9.24567811672584e-17
2.71097939951682e-11,1.29144817837616e-05,7.05487164845176e-05,6.60845052967557e-08,0.0738306358615562,0.0114598177106019,0.914626016933329,1.84629451243244e-10
1.30270615927339e-13,6.05063486515813e-06,2.74547197801631e-07,1.21592858140873e-05,0.692555215536865,0.300681302867993,0.00674499711960969,7.52522725094811e-12
1.50902690933835e-08,0.963882524703921,0.036116253884854,4.96164661194765e-25,7.03856627256042e-22,1.50198733054921e-19,5.60544058110864e-23,1.20632095562508e-06
9.16001842670974e-22,1.87003643622783e-15,1.28269719613416e-15,1.16957009786972e-05,0.626874581301825,0.233599071071104,0.139514651926089,1.82599101713456e-21
7.4103522954912e-12,0.00465792994388387,3.18708906213954e-05,1.69189969016849e-06,0.792459305507352,0.0873546573595763,0.115494543729446,6.62019763919796e-10
2.91909856231325e-30,4.29701544255864e-24,4.38239202525536e-24,6.36561256049771e-07,0.814063274863275,0.0144466292327566,0.171489459342712,1.30336866553444e-28
