ck,random,rw,subjects_io_fixed_freq,subjects_io_fixed_trans,subjects_io_jump_freq,subjects_io_jump_trans,wsls
1.36097662621144e-08,0.00372279367433371,0.029634667927502,0.66909206466809,0.00162960613058437,0.29592077368531,7.83490039204378e-08,1.95540952634398e-09
7.96275238613363e-23,4.71788225156744e-14,1.42632614271357e-16,0.139708132088243,0.232776491427862,0.627508442619122,6.93386472553582e-06,4.69123809743974e-21
4.05358935245222e-13,1.16739561513603e-09,8.32897611939806e-07,0.0196368181907509,8.07335261592659e-05,0.980281613428867,7.71751795161255e-10,1.70582326238429e-11
8.11079698041281e-14,2.09434031464169e-11,1.75473293856042e-07,0.0358083954470447,0.320751550167028,0.643120665123271,0.000319213768230532,1.06965999471564e-13
6.85473539681664e-11,0.00162839794471956,0.000108435394208717,0.0159982560291737,0.0007248494105531,0.98154002357051,3.63654933149455e-08,1.21679430900432e-09
9.4197579530043e-08,1.13328405375069e-11,0.220821127882802,0.248087188568625,0.188717612498592,0.342363731697028,1.02447711618511e-05,3.72878712261203e-10
2.78212114939336e-07,6.72562300068678e-05,0.999932465252332,1.21952646548806e-16,7.56108908722364e-17,6.67482851825287e-16,3.85354611916642e-22,3.05545279702653e-10
5.70181765373581e-08,0.946441204753957,0.0535587302472664,2.66344524546617e-11,7.79617155493342e-09,2.36445355644588e-11,3.04034839398499e-14,1.34118599002307e-10
4.27848797985722e-32,7.51793510944061e-26,8.47984570519139e-26,0.00152511447005294,0.991008561036425,0.00744392084296823,2.24036505543498e-05,1.89746430915029e-30
9.88992789689133e-08,0.39779331451826,0.207446814176026,0.211843921689464,0.0955696211378252,0.087340142202769,4.42100045509579e-07,5.64527633141952e-06
4.89636782580578e-09,1.26297972875041e-05,0.0114422475630086,0.00798290357676401,0.974064558167784,0.00648865174609353,9.00423402509513e-06,1.86698470887398e-11
4.77336823944123e-07,0.0226743876907031,0.977132299914332,7.43572448032834e-20,1.20208273553731e-20,4.33864719198124e-18,2.88037053296295e-25,0.00019283505814146
1.07634830199037e-18,4.49196106134068e-09,1.41762421135164e-11,0.706393145552326,0.0830046434606356,0.210592635524862,9.57095603888732e-06,9.14135107663306e-17
2.91227208384509e-07,0.396081316564725,0.603888791491783,2.78791514764482e-09,9.10175500494878e-14,9.00626651333262e-10,5.6341288438193e-18,2.95970276509534e-05
2.23794701327429e-33,3.08218317426892e-26,3.59701487937669e-27,0.216839893066767,0.621748638907682,0.161406877188618,4.59083693337583e-06,2.37124159513654e-32
1.86679331267823e-34,3.37291854900759e-33,3.86756863491182e-28,0.0729787435822227,0.909723940790602,0.0172939317084321,3.3839187430801e-06,1.11600240730301e-35
3.35916568921787e-07,0.33077243381176,0.669180885158369,4.00860354642764e-23,6.67271081112907e-22,1.24389633451531e-22,1.04717407127456e-26,4.63451133016959e-05
