subject,session,runtime,p1,pmod_mean,pmod_surprise,pmod_sd,pmod_pe
6,1,1.6,NaN,0.499999999999997,1,0.302765035409751,0
6,1,3.1,NaN,0.473343725809762,0.99999999999999,0.301589306363741,0.219330048674792
6,1,4.6,NaN,0.471013314671689,0.925066410651946,0.302262192975076,0.00224442489296294
6,1,6.05,NaN,0.470673419608613,0.918696684934756,0.302424480274772,5.69563604618754e-05
6,1,7.6,NaN,0.470613169066947,0.917769993463212,0.302460606426917,2.30914243362772e-06
6,1,9.2,NaN,0.47060126627119,0.917605788198905,0.302468734247758,1.14863672753017e-07
6,1,10.8,NaN,0.500000000000002,1.08742289238569,0.30276503540975,3.40192896536401
6,1,12.25,NaN,0.50348832546797,1.00000000000001,0.302610351906522,1.52712656398772
6,1,13.8,NaN,0.473691064656,1.01010045449232,0.301475779497179,1.61660305906919
6,1,15.4,NaN,0.471066158841504,0.92601820667448,0.302235548526537,0.00523909460263815
6,1,16.9,NaN,0.499948476255544,1.08599840165289,0.302765031025664,3.38757731828776
6,1,18.45,NaN,0.503486092159716,0.99985134155808,0.302606965597264,1.52639884561168
6,1,20,NaN,0.473691460712666,1.01009396526828,0.301475432918231,1.61664723118333
6,1,21.6,NaN,0.47106625526269,0.926019292328104,0.302235485251614,0.00524090687152551
6,1,23.05,NaN,0.47068304162737,0.918841075998566,0.302418517746806,0.000151603541539626
6,1,24.45,NaN,0.470615102039644,0.91779621879447,0.302459256713978,6.64479916367939e-06
6,1,25.9,NaN,0.49999849730017,1.08738047749533,0.302765035563878,3.40156899355923
6,1,27.3,NaN,0.503488139615866,0.999995664131331,0.302610263122197,1.52709115345296
6,1,28.9,NaN,0.473691063406618,1.01009991446905,0.301475769300424,1.61660291267372
6,1,30.3,NaN,0.471066160417936,0.92601820324973,0.302235546460483,0.00523913340434742
6,1,31.75,NaN,0.470683022169109,0.918840817304458,0.302418530240334,0.000151539274168336
