subject,session,runtime,p1,pmod,pmod_surprise
8,10,1.55,NaN,0.36312010205741,1
8,10,3.1,NaN,0.547756862556748,1.46148129601947
8,10,4.7,NaN,0.421928056571617,1.14482948402914
8,10,6.2,NaN,0.553029112966152,1.24493107054194
8,10,7.8,NaN,0.624508955231002,0.854572665012649
8,10,9.4,NaN,0.467881446271446,1.41314959412896
8,10,10.8,NaN,0.578870360207678,1.09578507478691
8,10,12.2,NaN,0.453694977632667,1.24766367657209
8,10,13.75,NaN,0.566605076273719,1.14020540562972
8,10,15.35,NaN,0.448375030377084,1.20624583937412
8,10,16.85,NaN,0.561552914993483,1.15722215696301
8,10,18.3,NaN,0.446042391367634,1.18952535667607
8,10,19.85,NaN,0.559194615071726,1.16474726611043
8,10,21.25,NaN,0.44490375868581,1.18178624674539
8,10,22.85,NaN,0.557998923778443,1.1684348079842
8,10,24.25,NaN,0.444308461128392,1.17787821247063
8,10,25.85,NaN,0.379312910267933,0.847643821345233
8,10,34.45,1,0.530004833472025,1.3985396189511
8,10,35.85,NaN,0.611145266434244,0.915922578241102
8,10,37.3,NaN,0.459240830809609,1.36269679393154
8,10,38.85,NaN,0.570781087886323,1.12267717807456
8,10,40.45,NaN,0.449756582037601,1.2202144498006
8,10,41.85,NaN,0.562418523996842,1.15278369989527
8,10,43.4,NaN,0.446387739558062,1.19237642861254
8,10,45,NaN,0.559303026567473,1.16363069209681
8,10,46.55,NaN,0.444976453207364,1.18214110621138
8,10,48,NaN,0.557940971903765,1.16819909979656
8,10,49.55,NaN,0.444307395742162,1.17768906948833
8,10,51,NaN,0.55727929079101,1.17036993888327
8,10,52.5,NaN,0.44396429928386,1.17553123472396
8,10,54,NaN,0.556934580895414,1.17148442578255
8,10,55.55,NaN,0.443778670875422,1.17440836484346
8,10,57.05,NaN,0.556746001581248,1.17208776525627
8,10,58.65,NaN,0.443674261614612,1.17379444972417
8,10,60.05,NaN,0.556639056801073,1.17242723277724
8,10,61.5,NaN,0.443613784865327,1.17344640978595
8,10,63.05,NaN,0.556576716525341,1.1726238983511
8,10,71.6,1,0.443577942531737,1.17324356899539
8,10,73.05,NaN,0.556539581949608,1.17274046742034
8,10,74.55,NaN,0.443556306418843,1.17312275525579
8,10,76.1,NaN,0.379214444902237,0.845692385938403
8,10,77.55,NaN,0.52955218095379,1.39891417497632
8,10,79,NaN,0.422165631607193,1.08789338336418
8,10,80.5,NaN,0.544767281236266,1.24411896084485
8,10,82.05,NaN,0.61676604498927,0.876288037307694
8,10,83.65,NaN,0.464875137284536,1.38370270355391
8,10,85.25,NaN,0.386279150197296,0.902052534583821
8,10,86.7,NaN,0.337599477618834,0.704345498219809
8,10,88.3,NaN,0.521146220362442,1.56661542318024
8,10,89.85,NaN,0.410320956675063,1.06234290572344
8,10,91.25,NaN,0.541363012287698,1.28517525477076
8,10,92.8,NaN,0.617487206461122,0.885331773666226
8,10,94.35,NaN,0.462897997474699,1.3864200938365
8,10,95.9,NaN,0.384421511958523,0.89673199445529
8,10,97.4,NaN,0.537374790141587,1.37923902431287
8,10,98.9,NaN,0.615443207078228,0.895999453087486
8,10,100.4,NaN,0.462258371881048,1.37873141785485
8,10,101.95,NaN,0.384492712930849,0.895014935797444
8,10,110.35,NaN,0.336554926172287,0.700152157826217
8,10,111.85,NaN,0.305661416035652,0.591951064101943
8,10,113.45,NaN,0.285062275346683,0.526288751552844
8,10,114.9,NaN,0.511666710164415,1.81065096677027
8,10,116.45,NaN,0.619643955955807,0.966723722479481
8,10,117.95,NaN,0.675927082014372,0.690488606037226
8,10,119.35,NaN,0.707051543423116,0.565060475732529
8,10,120.9,NaN,0.725681164860195,0.500112704845033
8,10,122.45,NaN,0.737664227458493,0.462592269681539
8,10,124.05,NaN,0.745846670626803,0.438963820082938
8,10,125.6,NaN,0.483542707344978,1.97622896487323
8,10,127.15,NaN,0.613425109487709,1.04828477818666
8,10,128.75,NaN,0.458738900656779,1.37118016274395
8,10,130.2,NaN,0.37537446950073,0.885603390192135
8,10,131.6,NaN,0.537962965900476,1.41359756399726
8,10,133.2,NaN,0.61910009759818,0.894421235768556
8,10,134.8,NaN,0.46235295172527,1.39251617664856
8,10,136.4,NaN,0.575342232236201,1.11293349585069
8,10,138,NaN,0.633716204454633,0.797507721655478
8,10,146.6,0.566666666666667,0.671000063728982,0.658091188417551
8,10,148.1,NaN,0.696232979426723,0.575615191440321
8,10,149.7,NaN,0.491918960646829,1.71896284729255
8,10,151.15,NaN,0.385552566710239,0.976869468463908
8,10,152.7,NaN,0.552860225292455,1.37500052252387
8,10,154.2,NaN,0.626746913144341,0.855013312015517
8,10,155.8,NaN,0.669553329545628,0.674045109376321
8,10,157.25,NaN,0.696890324047848,0.578729124913753
8,10,158.85,NaN,0.715439344088709,0.520996470935105
8,10,160.4,NaN,0.49062295022382,1.81319188996423
8,10,161.8,NaN,0.609620437098345,1.02731337342627
8,10,163.3,NaN,0.657911582694067,0.71401682590422
8,10,164.75,NaN,0.686295563501659,0.604034382932636
8,10,166.2,NaN,0.70531631876016,0.543098066353094
8,10,167.6,NaN,0.718991887095971,0.503657675447496
8,10,169.1,NaN,0.729250021711126,0.475952603099624
8,10,170.65,NaN,0.737167994429447,0.455514570812202
8,10,172.1,NaN,0.743410102832506,0.439934659947325
8,10,173.7,NaN,0.748413675932878,0.427769800543871
8,10,175.2,NaN,0.752479976079804,0.418092173374039
8,10,183.6,0.933333333333333,0.755823501439238,0.410274903439914
8,10,185,NaN,0.758600885287678,0.403878716693413
8,10,186.4,NaN,0.760928846773368,0.398587039628272
8,10,188,NaN,0.762895840332304,0.394166538933162
8,10,189.6,NaN,0.764569875770454,0.390441998370088
8,10,191.05,NaN,0.766003910424913,0.38727973611257
8,10,192.55,NaN,0.473916621325963,2.09544367447086
8,10,193.95,NaN,0.612636619355286,1.07729483445699
8,10,195.5,NaN,0.453975979954096,1.36824051951966
8,10,196.95,NaN,0.372437112982791,0.872963677004367
8,10,198.4,NaN,0.535780016481396,1.42493125172106
8,10,199.95,NaN,0.420897128600764,1.10711946642589
8,10,201.55,NaN,0.548119191482061,1.24846042737416
8,10,203.15,NaN,0.433521766614192,1.14598580816819
8,10,204.6,NaN,0.552588539510412,1.20582366361327
8,10,206.05,NaN,0.438596432238091,1.16032588323836
8,10,207.5,NaN,0.554491544318438,1.1890340184284
8,10,209.05,NaN,0.62084131557891,0.85076263461376
8,10,210.45,NaN,0.469279374389979,1.39912632745552
8,10,211.9,NaN,0.388176214322683,0.913975477008257
8,10,213.35,NaN,0.337889969034959,0.708811899708041
8,10,214.8,NaN,0.305757899766539,0.594857107557445
8,10,223.3,0.533333333333333,0.284603250788408,0.526489239146955
8,10,224.8,NaN,0.512510118639354,1.81297595421225
8,10,226.25,NaN,0.619992116472494,0.964347606431799
8,10,227.65,NaN,0.448672375394499,1.39589874630993
8,10,229.1,NaN,0.37298425556779,0.859018204535982
8,10,230.65,NaN,0.32958276245404,0.673426425178888
8,10,232.2,NaN,0.302165185258836,0.576868851276164
8,10,233.75,NaN,0.510655518715522,1.72659064863954
8,10,235.15,NaN,0.395577511689035,1.03107766555645
8,10,236.75,NaN,0.346708312403354,0.726370756073662
8,10,238.35,NaN,0.317153359953126,0.614200811706379
8,10,239.8,NaN,0.297092678674287,0.550366493659474
8,10,241.35,NaN,0.282624829621614,0.508593613097479
8,10,242.9,NaN,0.27179556316467,0.479200282951119
8,10,244.45,NaN,0.263476209159184,0.457584563963726
8,10,245.85,NaN,0.256956017376202,0.441195967625265
8,10,247.4,NaN,0.251761818165478,0.42848048488363
8,10,248.95,NaN,0.247566273886484,0.418430507857438
8,10,250.55,NaN,0.244136388737204,0.410363579085473
8,10,252.15,NaN,0.518463896610783,2.0342407488134
8,10,253.65,NaN,0.384111297477537,1.05428412604409
8,10,255.15,NaN,0.332683685774362,0.699258430373374
8,10,263.55,0.2,0.516080766919688,1.58777697417157
8,10,265.15,NaN,0.615872203264926,0.954331229013745
8,10,266.75,NaN,0.452194894544693,1.38034172914167
8,10,268.35,NaN,0.571307171826997,1.14498339129114
8,10,269.75,NaN,0.633491894612307,0.80766145417555
8,10,271.35,NaN,0.672226947992043,0.658601934364904
8,10,272.85,NaN,0.697785213346148,0.57297971684244
8,10,274.25,NaN,0.715400349642544,0.519145068948957
8,10,275.85,NaN,0.72798425864828,0.48317727145576
8,10,277.3,NaN,0.737250284060214,0.45802083981448
8,10,278.9,NaN,0.744251427291447,0.439773621734385
8,10,280.35,NaN,0.749659379770075,0.426138011686639
8,10,281.75,NaN,0.753916824946356,0.415692862932242
8,10,283.35,NaN,0.757324078986662,0.407522726375388
8,10,284.95,NaN,0.760090185746954,0.401017295211691
8,10,286.5,NaN,0.762364034987394,0.395757488422341
8,10,288.1,NaN,0.764253872828651,0.391448034098588
8,10,289.5,NaN,0.765839860726465,0.387876136952046
8,10,291.1,NaN,0.767182355481182,0.38488534280088
8,10,299.55,1,0.768327488404248,0.382358554865683
8,10,301.05,NaN,0.769311000118193,0.38020672509771
8,10,302.6,NaN,0.770160924747154,0.378361157785943
8,10,304,NaN,0.770899500308596,0.376768167160901
8,10,305.55,NaN,0.771544549355102,0.375385302006399
8,10,306.95,NaN,0.772110490930723,0.37417863377752
8,10,308.35,NaN,0.772609092006665,0.373120779373712
8,10,309.85,NaN,0.773050032218321,0.37218943968906
8,10,311.25,NaN,0.773441333048449,0.371366305708259
8,10,312.65,NaN,0.773789687388365,0.370636230142567
8,10,314.15,NaN,0.77410071505192,0.369986593364964
8,10,315.55,NaN,0.774379162667708,0.36940681320337
8,10,316.95,NaN,0.774629061376068,0.368887962420024
8,10,318.35,NaN,0.774853852219389,0.368422467628186
8,10,319.85,NaN,0.77505648658169,0.368003870386066
8,10,321.25,NaN,0.775239507201105,0.367626636188768
8,10,322.85,NaN,0.775405113939806,0.367286000668459
8,10,324.3,NaN,0.77555521750795,0.366977844926888
8,10,325.7,NaN,0.77569148360282,0.366698593846553
8,10,327.3,NaN,0.775815369372237,0.366445132653468
8,10,328.75,NaN,0.775928153693492,0.366214738072598
8,10,330.15,NaN,0.776030962440507,0.366005021223348
8,10,338.65,1,0.776124789667241,0.365813880015885
8,10,340.05,NaN,0.776210515446154,0.365639459279189
8,10,341.45,NaN,0.776288920953293,0.365480117214582
8,10,343,NaN,0.77636070127623,0.365334397050347
8,10,344.5,NaN,0.77642647633024,0.36520100299347
8,10,345.95,NaN,0.776486800196111,0.365078779747864
8,10,347.35,NaN,0.776542169135678,0.364966695005594
8,10,348.75,NaN,0.776593028495249,0.364863824426688
8,10,350.3,NaN,0.462725901533581,2.16225388848242
8,10,351.9,NaN,0.60510820512211,1.11177023746206
8,10,353.35,NaN,0.661601030736726,0.724734947484013
8,10,354.75,NaN,0.692437433480613,0.595966612739715
8,10,356.2,NaN,0.711657943018879,0.530244375328611
8,10,357.65,NaN,0.724706865197907,0.490744115616196
8,10,359.2,NaN,0.734097728248162,0.464530533750769
8,10,360.8,NaN,0.741146663544762,0.445955957331633
8,10,362.2,NaN,0.746608260805424,0.432169033015148
8,10,363.8,NaN,0.750945752577107,0.421576623539326
8,10,365.35,NaN,0.754459083434584,0.413219401947702
8,10,373.9,0.9,0.757350949140597,0.406485433667116
8,10,375.45,NaN,0.759763207763559,0.400966108736553
8,10,376.85,NaN,0.761798080533296,0.396378245035335
8,10,378.45,NaN,0.763531068565514,0.3925194420722
8,10,379.95,NaN,0.765019129373184,0.389241232490703
8,10,381.4,NaN,0.766306025034224,0.386432271909809
8,10,382.8,NaN,0.76742592095734,0.384007446039161
8,10,384.3,NaN,0.76840586824829,0.381900599942682
8,10,385.9,NaN,0.769267553835048,0.380059558106229
8,10,387.5,NaN,0.770028558534761,0.378442635247193
8,10,389.1,NaN,0.770703277244516,0.377016141946788
8,10,390.5,NaN,0.771303602590534,0.37575256917419
8,10,392.05,NaN,0.771839440061929,0.374629245465712
8,10,393.5,NaN,0.772319101176908,0.373627329152827
8,10,394.95,NaN,0.77274960709059,0.372731041996212
8,10,396.55,NaN,0.773136925569774,0.371927079351068
8,10,398.1,NaN,0.466881324649153,2.14010628830822
8,10,399.7,NaN,0.608306706275452,1.09887221325715
8,10,401.3,NaN,0.66391689312666,0.717129185602637
8,10,402.9,NaN,0.694102636703348,0.590925433703602
8,10,404.4,NaN,0.712855555269199,0.526779085520988
8,10,405.95,NaN,0.725565909004497,0.488318319491987
8,10,414.5,0.933333333333333,0.734709069526384,0.462821423014273
8,10,415.95,NaN,0.49152037247724,1.91435274003088
8,10,417.5,NaN,0.617600997194461,1.02467688043183
8,10,419.05,NaN,0.461229217656311,1.38684933372712
8,10,420.45,NaN,0.581992858244873,1.1164441880713
8,10,421.95,NaN,0.64031847132553,0.780926645255389
8,10,423.55,NaN,0.67562392415927,0.643138466767873
8,10,425.15,NaN,0.698984922985054,0.565707679337127
8,10,426.65,NaN,0.715356681781418,0.516666757697639
8,10,428.1,NaN,0.727301462120851,0.483265335893438
8,10,429.5,NaN,0.73628279102038,0.459374618281871
8,10,431.05,NaN,0.743197554399889,0.441668112784287
8,10,432.45,NaN,0.748624846678532,0.428182340557752
8,10,433.95,NaN,0.752953923007878,0.417685163153587
8,10,435.35,NaN,0.756454943482618,0.409366512967532
8,10,436.8,NaN,0.75932038625715,0.402673940733547
8,10,438.2,NaN,0.478836158788321,2.05481414832905
8,10,439.65,NaN,0.614554997644419,1.06239599495576
8,10,441.25,NaN,0.456066362336138,1.37540307259218
