subject,session,runtime,p1,pmod,pmod_surprise
8,10,1.55,NaN,0,1
8,10,3.1,NaN,0,0
8,10,4.7,NaN,0.197481677136224,0.802518322863776
8,10,6.2,NaN,0.158482664331688,0.158482664331688
8,10,7.8,NaN,0.324666919118673,0.675333080881327
8,10,9.4,NaN,0.45803282855669,0.54196717144331
8,10,10.8,NaN,0.367579737389867,0.367579737389867
8,10,12.2,NaN,0.492471151505047,0.507528848494953
8,10,13.75,NaN,0.395217122564623,0.395217122564623
8,10,15.35,NaN,0.514650659503832,0.485349340496168
8,10,16.85,NaN,0.413016584125752,0.413016584125752
8,10,18.3,NaN,0.528935053543748,0.471064946456252
8,10,19.85,NaN,0.42448007207379,0.42448007207379
8,10,21.25,NaN,0.538134712665977,0.461865287334023
8,10,22.85,NaN,0.43186296708348,0.43186296708348
8,10,24.25,NaN,0.544059621187032,0.455940378812968
8,10,25.85,NaN,0.436617814732918,0.436617814732918
8,10,34.45,1,0.350393796411909,0.350393796411909
8,10,35.85,NaN,0.47867911897458,0.52132088102542
8,10,37.3,NaN,0.581630440885614,0.418369559114386
8,10,38.85,NaN,0.466769085946042,0.466769085946042
8,10,40.45,NaN,0.572072421154299,0.427927578845701
8,10,41.85,NaN,0.459098599981368,0.459098599981368
8,10,43.4,NaN,0.565916715622379,0.434083284377621
8,10,45,NaN,0.454158533501848,0.454158533501848
8,10,46.55,NaN,0.561952221756399,0.438047778243601
8,10,48,NaN,0.450976954533518,0.450976954533518
8,10,49.55,NaN,0.559398946338676,0.440601053661324
8,10,51,NaN,0.448927904227478,0.448927904227478
8,10,52.5,NaN,0.557754545923609,0.442245454076391
8,10,54,NaN,0.447608242764262,0.447608242764262
8,10,55.55,NaN,0.556695493419401,0.443304506580599
8,10,57.05,NaN,0.44675833372476,0.44675833372476
8,10,58.65,NaN,0.556013425842434,0.443986574157566
8,10,60.05,NaN,0.446210961996812,0.446210961996812
8,10,61.5,NaN,0.555574150001338,0.444425849998662
8,10,63.05,NaN,0.445858435085542,0.445858435085542
8,10,71.6,1,0.555291240695741,0.444708759304259
8,10,73.05,NaN,0.445631395184091,0.445631395184091
8,10,74.55,NaN,0.555109037014805,0.444890962985195
8,10,76.1,NaN,0.445485173391647,0.445485173391647
8,10,77.55,NaN,0.357510014210944,0.357510014210944
8,10,79,NaN,0.484390014147795,0.515609985852205
8,10,80.5,NaN,0.388731861765849,0.388731861765849
8,10,82.05,NaN,0.509446118884266,0.490553881115734
8,10,83.65,NaN,0.606321522052685,0.393678477947315
8,10,85.25,NaN,0.486584130993933,0.486584130993933
8,10,86.7,NaN,0.390492680737379,0.390492680737379
8,10,88.3,NaN,0.313377531235942,0.313377531235942
8,10,89.85,NaN,0.448972887926882,0.551027112073118
8,10,91.25,NaN,0.360308969030388,0.360308969030388
8,10,92.8,NaN,0.486636226675267,0.513363773324733
8,10,94.35,NaN,0.588016165612415,0.411983834387585
8,10,95.9,NaN,0.471893747044064,0.471893747044064
8,10,97.4,NaN,0.378703378447705,0.378703378447705
8,10,98.9,NaN,0.501398077270922,0.498601922729078
8,10,100.4,NaN,0.599862821194806,0.400137178805194
8,10,101.95,NaN,0.481400905213589,0.481400905213589
8,10,110.35,NaN,0.386333047077113,0.386333047077113
8,10,111.85,NaN,0.310039349007177,0.310039349007177
8,10,113.45,NaN,0.248812258387017,0.248812258387017
8,10,114.9,NaN,0.199676396308697,0.199676396308697
8,10,116.45,NaN,0.357725643817362,0.642274356182638
8,10,117.95,NaN,0.484563060857898,0.515436939142102
8,10,119.35,NaN,0.586352412057642,0.413647587942358
8,10,120.9,NaN,0.668040231467852,0.331959768532148
8,10,122.45,NaN,0.733596203299333,0.266403796700667
8,10,124.05,NaN,0.786206071867239,0.213793928132761
8,10,125.6,NaN,0.828426455356438,0.171573544643562
8,10,127.15,NaN,0.664827409568631,0.664827409568631
8,10,128.75,NaN,0.731017854857111,0.268982145142889
8,10,130.2,NaN,0.586655222863404,0.586655222863404
8,10,131.6,NaN,0.470801565551614,0.470801565551614
8,10,133.2,NaN,0.575308559924345,0.424691440075655
8,10,134.8,NaN,0.659177337775883,0.340822662224117
8,10,136.4,NaN,0.529001891581711,0.529001891581711
8,10,138,NaN,0.622015387960144,0.377984612039856
8,10,146.6,0.566666666666667,0.696660423077459,0.303339576922541
8,10,148.1,NaN,0.756564431469915,0.243435568530085
8,10,149.7,NaN,0.804638495817846,0.195361504182154
8,10,151.15,NaN,0.64573713617537,0.64573713617537
8,10,152.7,NaN,0.518215883534316,0.518215883534316
8,10,154.2,NaN,0.613359418871553,0.386640581128447
8,10,155.8,NaN,0.689713849281723,0.310286150718277
8,10,157.25,NaN,0.750989678717711,0.249010321282289
8,10,158.85,NaN,0.800164654588768,0.199835345411232
8,10,160.4,NaN,0.839628473751674,0.160371526248326
8,10,161.8,NaN,0.673817234583866,0.673817234583866
8,10,163.3,NaN,0.738232354151175,0.261767645848825
8,10,164.75,NaN,0.789926667873402,0.210073332126598
8,10,166.2,NaN,0.831412301823358,0.168587698176642
8,10,167.6,NaN,0.864705283203817,0.135294716796183
8,10,169.1,NaN,0.891423510784397,0.108576489215603
8,10,170.65,NaN,0.912865377972258,0.0871346220277424
8,10,172.1,NaN,0.930072869266927,0.0699271307330729
8,10,173.7,NaN,0.943882196321418,0.0561178036785817
