subject,session,runtime,p1,pmod_mean,pmod_surprise,pmod_sd,pmod_pe
6,1,67.35,NaN,0.665355000996355,0.594742356875161,0.287829304107847,0.000690729810060482
6,1,68.8,NaN,0.667502036665302,0.587803797098608,0.288782355678878,0.000362637354348041
6,1,70.35,NaN,0.668987017174374,0.583155856165899,0.289489813123173,0.000199697273223609
6,1,78.9,0.733333333333333,0.670038239594534,0.579949881688626,0.290019927730088,0.000114303423194351
6,1,80.5,NaN,0.670797065552357,0.577684661258554,0.290420830800958,6.75213358545812e-05
6,1,81.95,NaN,0.450645142128284,1.60295089918191,0.286900331561181,2.99864499818439
6,1,83.35,NaN,0.57702716565445,1.14993625609747,0.274761187942827,1.72028647453651
6,1,84.95,NaN,0.620112585965697,0.793288854296682,0.27634154820212,0.0529642666548091
6,1,86.55,NaN,0.453247714232766,1.39635617970223,0.279093513667552,2.34968391809837
6,1,87.95,NaN,0.572291637104097,1.14162835053485,0.271467861666324,1.70839237527004
6,1,89.5,NaN,0.616185320193732,0.805177569944565,0.274877921089411,0.0564919090653893
6,1,90.95,NaN,0.637996040152752,0.698563782415935,0.278868866235796,0.0169123800427104
6,1,92.4,NaN,0.455603439395666,1.46592261630611,0.281855883019437,2.56499779960684
6,1,93.9,NaN,0.575104767522684,1.13414945675191,0.271923008164178,1.69427090959976
6,1,95.35,NaN,0.617695424199741,0.7981032974091,0.274928628704566,0.053663156363491
6,1,96.9,NaN,0.638721514068909,0.695032451437084,0.278847106609853,0.0159671232143475
6,1,98.35,NaN,0.650506998559873,0.646741049233072,0.282078317724544,0.00617439290789306
6,1,99.9,NaN,0.455412439317857,1.51666452881087,0.284288849229467,2.71947334075223
6,1,101.45,NaN,0.576784399084547,1.13475439652418,0.272903880153391,1.69453214122397
6,1,102.9,NaN,0.61898505174143,0.793895951923996,0.275327947319794,0.052351957937116
6,1,104.35,NaN,0.453787966816362,1.39208049518593,0.27884320209295,2.33979449756785
6,1,112.8,0.366666666666667,0.572307754105949,1.13990974159446,0.2711884715945,1.70646969450817
6,1,114.3,NaN,0.442419179022096,1.22535504365069,0.273111497117703,1.88311073366983
6,1,115.7,NaN,0.564150415606839,1.17651416663771,0.270861884037868,1.78513002090901
6,1,117.1,NaN,0.439799819262056,1.19809776101071,0.271540839587696,1.82790041502311
6,1,118.7,NaN,0.389154809288306,0.835985646016724,0.275636818859837,0.0709013348402192
6,1,120.25,NaN,0.364075107738627,0.71112129731717,0.279498266777236,0.020760529473253
6,1,121.65,NaN,0.350469308790475,0.653071712963798,0.282606841481602,0.00736374797946933
6,1,123.15,NaN,0.545277324427034,1.51263998444455,0.283701949911206,2.70857845554438
6,1,124.7,NaN,0.42388224901394,1.13694114639984,0.272767249040053,1.69808910832097
6,1,126.3,NaN,0.381388615148454,0.795564384952485,0.275318004584325,0.0529481174272243
6,1,127.7,NaN,0.360653755487462,0.692894710025129,0.279052527115935,0.0154630153766922
6,1,129.25,NaN,0.544245262336255,1.47131364821342,0.28227326245223,2.5796739189054
6,1,130.75,NaN,0.424542716970445,1.13367044143488,0.272090432471315,1.69320655135473
6,1,132.25,NaN,0.557164969547698,1.23601837158991,0.273937535495974,1.90401440540858
6,1,133.65,NaN,0.610861506607866,0.843823540193925,0.276810905515637,0.0762226362346814
6,1,135.1,NaN,0.450277893388895,1.36164439681988,0.276729572319996,2.26073616933841
