io_fixed_freq,io_fixed_trans,io_jump_freq,io_jump_trans,random,rw
9.28854113240277e-08,1.20387152283865e-07,0.494842701334638,0.338629162979076,5.83154240636226e-05,0.166469606989658
9.53345258214464e-07,1.09168502925988e-06,0.458808606027405,0.16950248938705,0.0782337940553127,0.293453065499945
3.9535831521941e-09,7.68687798363739e-12,0.615998061787737,8.05059717290442e-06,0.383993883630054,2.37665169150283e-11
2.01682326491226e-07,2.11752370645393e-07,0.408172104180428,0.190016008069048,3.60015166578453e-05,0.401775472799169
9.33485298069267e-07,4.53982355061278e-08,0.0947168413129935,0.00767007423720867,5.57652791782274e-05,0.897556340287086
2.41062359906844e-06,7.57183148258789e-09,0.937299486797196,0.000729865572433306,0.0618769142583638,9.13151765769556e-05
5.51174103557489e-07,4.3069111103618e-07,0.397391971195373,0.10628117521089,0.0893412233877642,0.406984648340759
1.33020027921179e-08,7.62286874777385e-08,0.0169668216954639,0.0125281015081265,0.0122263671185523,0.958278620147167
6.16621627869262e-08,4.59247028825959e-07,0.266709748783742,0.544245611989767,4.65165403796124e-05,0.18899760177692
1.40739384780757e-06,6.7033486246557e-06,0.513436459845072,0.366473876215657,0.0414944567398305,0.0785870964569679
3.02956264965503e-07,4.32925148312344e-07,0.507730659617158,0.144870205893698,0.0967310173373551,0.250667381270375
1.02967852709796e-06,4.65594179139272e-07,0.628201802668135,0.0373556256771993,0.328495181286451,0.00594589509550855
6.63274691685073e-08,6.06720732311995e-09,0.732599680501788,0.0315836715374367,0.235792466492596,2.41090735034006e-05
5.2488074699116e-07,2.69124695249847e-06,0.291122183418901,0.390721029270227,0.0523596322009361,0.265793938982236
1.5310326809681e-08,2.03654001720333e-09,0.505431262807491,0.00115339287137627,0.49298881641139,0.000426510562875925
2.81547717873209e-07,5.57029605086984e-07,0.252387347821534,0.595162132036837,0.0368602655597133,0.115589416004593
4.77732521050614e-07,6.27189215442741e-10,0.113284724274225,6.97799669941215e-05,5.82016012947955e-05,0.886586815797776
1.0174977562096e-06,7.70515632636956e-07,0.496693580757291,0.142237606783359,0.115897845338052,0.24516917910791
8.88422019788945e-07,4.48096146139491e-07,0.362166946531452,0.285948524535376,0.000393459454900698,0.351489732960105
1.65432361811701e-06,1.74128858527886e-06,0.29153498904066,0.0830384512158393,0.0474018684482101,0.578021295683087
3.1872548444909e-07,4.56535412288076e-06,0.0719731363219625,0.591892101154687,0.000658960790239289,0.335470917653504
5.9372763440077e-07,1.88765546578237e-07,0.826339570742067,0.047263600084997,0.12219416744987,0.00420187922988598
1.01774388590512e-06,2.11391407432491e-07,0.838584283051973,0.0558381284025123,0.10155583192752,0.00402052748270171
1.39605146960586e-07,7.60823788748544e-07,0.116919988844925,0.0730944520456059,0.0321674263267736,0.77781723235376
8.02971563660369e-07,1.9966596831473e-06,0.595012360759797,0.4026643274663,0.00220936508768848,0.000111147054967747
3.88110255446318e-07,2.50192561897972e-08,0.910004796765982,0.00734086969911903,0.0797697090702022,0.00288421133518474
3.35912074614417e-07,6.11787678819833e-15,0.832966173361349,2.18776932660411e-09,0.167033488527604,1.11962148990512e-11
2.46892228138485e-07,1.96283409089204e-07,0.896055115316193,0.0628561778840867,0.00521253247447094,0.0358757311496126
1.7574123004148e-07,1.22186295798152e-07,0.506386114911277,0.0301437237296928,0.395097957319405,0.0683719061121001
1.21533598318956e-06,3.91962507538675e-07,0.800377130317048,0.108286878659707,0.0806889764584993,0.0106454072662547
8.05689910103654e-07,9.66732908490086e-08,0.866731011140098,0.0401699040403243,0.0615217576115488,0.0315764248448276
2.08553723856048e-07,1.40395686503772e-07,0.719397542577962,0.0366302572146929,0.237801254017894,0.00617059724004136
1.16959591182597e-06,8.91569891319576e-07,0.599604506985086,0.182375732369943,0.0529000115745688,0.165117687904598
