random,rw,subjects_io_fixed_freq_srp1,subjects_io_fixed_freq_std1,subjects_io_fixed_trans_srp1,subjects_io_fixed_trans_ss,subjects_io_fixed_trans_std1,subjects_io_jump_freq_srp1,subjects_io_jump_freq_ss,subjects_io_jump_freq_std1,subjects_io_jump_trans_srp1,subjects_io_jump_trans_ss,subjects_io_jump_trans_std1
0.000365443446578306,0.000317566561688904,9.84928742239411e-08,1.11721363047e-07,2.80053671444008e-07,2.80053671444008e-07,0.219047240785351,0.130174258119767,0.130174258119767,5.42633535176948e-08,2.75772967153448e-07,2.75772967153448e-07,0.519919856835979
1.01246457871256e-11,9.13952068769723e-11,3.52946991861945e-08,1.72469116076039e-09,1.13549148973032e-09,1.13549148973032e-09,0.00129587089184459,0.262022751595209,0.262022751595209,4.31389609211899e-08,4.85188601443489e-07,4.85188601443489e-07,0.47465757300968
0.7639851301466,0.236014615218197,5.88868780953999e-15,5.04771287975347e-15,1.97679534138458e-15,1.97679534138458e-15,4.77774962005037e-08,7.77978764950123e-09,7.77978764950123e-09,3.99721870472819e-14,3.07104113775411e-15,3.07104113775411e-15,1.91298069917259e-07
3.90621737950217e-12,2.32093259447668e-13,7.5928882631229e-10,6.92292811212081e-10,4.71081149016314e-13,4.71081149016314e-13,1.40056152089813e-05,0.499910505273317,0.499910505273317,2.52092453555249e-07,1.19255702157937e-09,1.19255702157937e-09,0.000164727903927271
0.000404380576124813,0.0463818486082758,4.00371567865443e-08,4.3062843725299e-08,1.61428114976613e-07,1.61428114976613e-07,0.489836426897388,0.0340747937947243,0.0340747937947243,1.31680999557241e-08,1.01651544863278e-07,1.01651544863278e-07,0.395227133901343
0.0840742047307794,0.915925768855266,3.56934454024432e-15,4.49606628602392e-14,5.52579898846041e-15,5.52579898846041e-15,6.84061640796017e-09,5.91189809068065e-09,5.91189809068065e-09,3.98024544394545e-15,2.37720529059422e-15,2.37720529059422e-15,7.74947354873618e-09
8.76753685082011e-09,8.722667349155e-09,9.8401393807399e-08,8.22423695866466e-08,2.81169464297411e-06,2.81169464297411e-06,0.358271406301891,0.0607244399946608,0.0607244399946608,6.73114485207808e-10,1.01080207236406e-06,1.01080207236406e-06,0.520271869908275
5.72781225346911e-12,4.34975892137225e-15,4.63019156081757e-07,1.29747645622801e-07,3.26912776478155e-07,3.26912776478155e-07,0.190063065237197,0.29499109311057,0.29499109311057,5.15971334867688e-08,3.98520905004709e-07,3.98520905004709e-07,0.219952653304632
6.41242485626279e-08,7.91019038790894e-08,2.34953455400294e-07,4.06764697404814e-09,1.01378769110462e-09,1.01378769110462e-09,0.940166305631928,0.0283189163431748,0.0283189163431748,1.34821670489021e-07,8.95664982997101e-10,8.95664982997101e-10,0.00319534079389167
1.78476475197753e-09,5.53192311071636e-10,2.28244182183194e-08,2.37600201017223e-06,1.06978286431704e-09,1.06978286431704e-09,0.959325586320361,0.0182758074160337,0.0182758074160337,7.2875139546493e-09,1.40941263136057e-09,1.40941263136057e-09,0.00412038543728105
3.17468097398662e-16,7.41115175223495e-16,1.0443339213147e-07,1.97661712845194e-09,5.43943625759884e-08,5.43943625759884e-08,0.0355599202113205,0.127881258786936,0.127881258786936,1.96123150788196e-11,2.04131915595125e-08,2.04131915595125e-08,0.708677306170076
5.92754953763435e-14,4.33614847009864e-15,2.02947814369188e-08,1.53577713001686e-07,1.10386787711331e-07,1.10386787711331e-07,0.0518037110987573,0.260424721517147,0.260424721517147,2.71828745986564e-06,4.46089479456954e-07,4.46089479456954e-07,0.427342840754397
2.03974304657764e-17,1.12576924380765e-17,1.68932276132585e-08,2.29352208572157e-09,1.09801870052777e-08,1.09801870052777e-08,0.00811338250174914,0.454106575606227,0.454106575606227,1.22254528336892e-09,1.2889642275936e-08,1.2889642275936e-08,0.0836733981368429
0.909966347312372,0.0900336526874504,1.51997562883578e-20,9.33428750548699e-21,1.47588570682502e-20,1.47588570682502e-20,1.46281789467031e-14,1.90892317870386e-14,1.90892317870386e-14,1.79716724489573e-20,1.26511097769837e-20,1.26511097769837e-20,1.25422335542797e-13
0.859573720612517,0.140426261923452,1.99266296731288e-15,3.73579479295951e-15,7.90654120067357e-15,7.90654120067357e-15,2.98217270007327e-09,3.722849666815e-09,3.722849666815e-09,1.96713079316654e-15,3.09054192232043e-15,3.09054192232043e-15,7.03612950182209e-09
3.41786621497658e-16,5.88579569890396e-17,2.04940275473208e-07,1.45784287551532e-07,1.35144854264514e-07,1.35144854264514e-07,0.187111020479192,0.35622187406023,0.35622187406023,2.29289876732433e-08,6.80702036407219e-08,6.80702036407219e-08,0.100444451316682
1.2918888289698e-13,7.17902286318143e-14,1.36036522729357e-07,2.18061873026644e-07,1.36089568686133e-07,1.36089568686133e-07,0.208537298240259,0.258483265888365,0.258483265888365,9.86867485501637e-07,2.02688054786433e-07,2.02688054786433e-07,0.274494151461682
0.114244250055395,0.885755749718864,9.15803252054758e-20,2.28289799842587e-19,1.33124430237494e-19,1.33124430237494e-19,2.83236125071797e-13,1.38164168737164e-13,1.38164168737164e-13,7.89900439416769e-20,2.94292180234614e-18,2.94292180234614e-18,2.25181959979213e-10
0.414443923246872,0.122505595161719,1.79997091136824e-07,1.56513878983067e-07,2.61492854678081e-08,2.61492854678081e-08,0.0732070247969622,0.0945400379371254,0.0945400379371254,6.67525883743724e-08,6.76690945798595e-08,6.76690945798595e-08,0.200762790019877
6.31852049931281e-16,1.48922730740332e-22,1.32279698567067e-07,1.30412276814251e-07,1.32040707075895e-07,1.32040707075895e-07,0.199730958579217,0.202011438333013,0.202011438333013,6.98100313380554e-08,1.3745973337865e-07,1.3745973337865e-07,0.396245293251869
7.65558387589319e-24,1.02487046466714e-25,2.57170796324564e-08,3.53919362469791e-10,2.12165208981431e-11,2.12165208981431e-11,0.00235007007436542,0.0129282890878326,0.0129282890878326,5.85919777216483e-10,2.39116507223585e-11,2.39116507223585e-11,0.971793325002794
